,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
0,An Open Source Machine Learning Framework for Everyone,tensorflow/tensorflow,45717250,C++,tensorflow,2581,354760,129476,
1,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",electron/electron,9384267,C++,electron,1333,60259,74263,
2,The Swift Programming Language,apple/swift,44838949,C++,swift,566,433059,48135,
3,"The new Windows Terminal, and the original Windows console host -- all in the same place!",microsoft/terminal,100060912,C++,terminal,436,105562,45250,
4,Bitcoin Core integration/staging tree,bitcoin/bitcoin,1181927,C++,bitcoin,981,127100,38803,
5,Open Source Computer Vision Library,opencv/opencv,5108051,C++,opencv,1730,470750,35700,
6,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,nwjs/nw.js,3100121,C++,nw.js,744,124139,35539,
7,Protocol Buffers - Google's data interchange format,protocolbuffers/protobuf,23357588,C++,protobuf,629,56218,35043,
8,An open-source x64/x32 debugger for windows.,x64dbg/x64dbg,33791743,C++,x64dbg,380,54238,33978,
9,Tensors and Dynamic neural networks in Python  with strong GPU acceleration,pytorch/pytorch,65600975,C++,pytorch,3148,130790,29010,
10,Caffe: a fast open framework for deep learning.,BVLC/caffe,12791642,C++,caffe,1019,76158,28330,
11,Tesseract Open Source OCR Engine (main repository),tesseract-ocr/tesseract,22887094,C++,tesseract,226,44149,27673,
12,Godot Engine – Multi-platform 2D and 3D game engine,godotengine/godot,15634981,C++,godot,5269,319735,22770,
13,The open-source database for the realtime web.,rethinkdb/rethinkdb,6452529,C++,rethinkdb,1466,278338,22263,
14,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",grpc/grpc,27729880,C++,grpc,1334,224635,21609,
15,Lovely console emulator package for Windows,cmderdev/cmder,11276147,C++,cmder,23,2314,18533,
16,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,google/leveldb,23405758,C++,leveldb,102,1343,17812,
17,Emscripten: An LLVM-to-Web Compiler,emscripten-core/emscripten,1357796,C++,emscripten,1860,196294,17266,
18,Windows Calculator: A simple yet powerful calculator that ships with Windows,microsoft/calculator,168008797,C++,calculator,140,22693,17211,
19,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",apache/incubator-mxnet,34864402,C++,incubator-mxnet,1217,58829,17136,79.19058
20,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",dmlc/xgboost,16587283,C++,xgboost,125,12435,16281,79.42363
21,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",microsoft/CNTK,46918116,C++,CNTK,748,933414,16202,
22,The MongoDB Database,mongodb/mongo,108110,C++,mongo,39,476289,16176,
23,A virtual machine for executing programs written in Hack.,facebook/hhvm,455600,C++,hhvm,861,352078,16039,
24,Dear ImGui: Bloat-free Immediate Mode Graphical User interface for C++ with minimal dependencies,ocornut/imgui,22067521,C++,imgui,400,41247,15567,
25,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",aria2/aria2,1116542,C++,aria2,577,28225,15168,
26,"SQL powered operating system instrumentation, monitoring, and analytics.",facebook/osquery,22394357,C++,osquery,557,18749,14280,
27,JSON for Modern C++,nlohmann/json,11171548,C++,json,35,177905,14224,
28,"A library that provides an embeddable, persistent key-value store for fast storage.",facebook/rocksdb,6934395,C++,rocksdb,356,129401,14090,
29,An open autonomous driving platform,ApolloAuto/apollo,96246170,C++,apollo,398,1617337,13702,
30,🚀 Coroutine-based concurrency library for PHP,swoole/swoole-src,5133949,C++,swoole-src,55,34364,13542,
31,"Cocos2d-x is a suite of open-source, cross-platform, game-development tools used by millions of developers all over the world.",cocos2d/cocos2d-x,1093228,C++,cocos2d-x,1322,943212,13280,
32,An open-source C++ library developed and used at Facebook.,facebook/folly,4524181,C++,folly,169,24671,13143,
33,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",CMU-Perceptual-Computing-Lab/openpose,89247811,C++,openpose,21,86005,13134,
34,Mars is a cross-platform network component  developed by WeChat.,Tencent/mars,76222419,C++,mars,84,171895,12901,
35,:wrench: Cross-platform GUI management tool for Redis,uglide/RedisDesktopManager,11892946,C++,RedisDesktopManager,37,75066,12725,
36,The official mirror of the V8 Git repository,v8/v8,24420506,C++,v8,2,848902,12710,
37,Apache Weex (Incubating),apache/incubator-weex,78186814,C++,incubator-weex,70,250432,12516,
38,FlatBuffers: Memory Efficient Serialization Library,google/flatbuffers,19953044,C++,flatbuffers,424,8390,12266,
39,Yoga is a cross-platform layout engine which implements Flexbox. Follow https://twitter.com/yogalayout for updates.,facebook/yoga,18503721,C++,yoga,211,27645,11983,
40,Perceptual JPEG encoder,google/guetzli,71576450,C++,guetzli,115,472,11934,
41,Googletest - Google Testing and Mocking Framework,google/googletest,39840932,C++,googletest,107,6464,11813,
